X,Y,ObjectId,Name,Address,Spaces,Fee,Comments,Phone,Neighborhood,Maxspaces,Hours,Longitude,Latitude
-7914682.212,5208380.185,31,Municipal Lot #024,3087 Washington St,15,No Charge,,,,0,,-71.0988,42.31565
-7916196.157,5208746.015,32,Municipal Lot #032,490-498 Centre St,33,No Charge,,,,0,,-71.1124,42.31808
-7914003.163,5201319.282,33,Municipal Lot #013,451-467 River St,90,No Charge,,,,0,,-71.0927,42.26873
-7914303.726,5201323.795,34,Municipal Lot #014,23 Fairway St,40,No Charge,,,,0,,-71.0954,42.26876
-7918010.665,5204143.313,35,Municipal Lot #008,10 Tafthill Terr.,92,No Charge,,,,0,,-71.1287,42.2875
-7913001.288,5210754.565,36,Municipal Lot #001,30 Ruggles St,72,No Charge,,,,0,,-71.0837,42.33142
-7912934.496,5210423.29,37,Municipal Lot #028,44 Warren St / Ziegler St,25,No Charge,,,,0,,-71.0831,42.32922
-7912166.392,5210019.753,38,Municipal Lot #030,353 Dudley St,28,No Charge,,,,0,,-71.0762,42.32654
-7913390.906,5210712.402,39,Municipal Lot #025,14 Roxbury St,12,No Charge,,,,0,,-71.0872,42.33114
-7912789.781,5212786.133,44,Greenhouse Parking Garage/Ultimate,150 Huntington Ave,0,$14 for each 24-hour period,Only Back Bay and South End residents can park at the facility. Entrance to the garage is on Cumberland Street. Snow Emergency Parking is limited to 15-20 spaces. Cars must be out within two hours of the ban being lifted or will be charged regular rates.,617-247-0588,,0,,-71.0818,42.34491
-7912756.385,5213146.108,45,The Prudential Center Garage,800 Boylston St,0,$12 for each 24-hour period,"Discount only for Back Bay, Beacon Hill and South End. If parking ban ends before 6PM residents must move cars within two hours. If ban ends after 6PM residents have till 9AM the following morning to remove cars. Need to stop by level P2 to get discount",617-236-3060,,0,,-71.0815,42.3473
-7911888.093,5213378.065,46,LAZ Parking/The Clarendon Parking Garage,400 Stuart St,0,$14 for each 24-hour period,"There are a limited amount of public spaces available. Discounted rates for Back Bay, Bay Village, and South End. Proof of residency required. Stop by garage office on first floor of facility to receive the snow emergency rate before leaving vehicle.",617-948-2060,,0,,-71.0737,42.34884
-7912956.76,5212756.01,48,Christian Science Garage,235 Huntington Ave,0,$10 for each 24-hour period,"Due to construction, spaces are limited. Call ahead to confirm spaces are still available. Discounted rate for residents of the South End and Back Bay only. Proof of residency is required.",781-727-3330,,0,,-71.0833,42.34471
-7911943.753,5213242.505,49,100 Clarendon Street Garage,100 Clarendon Street,0,$14 for each 24-hour period,"Stop by the garage office on the first floor of the facility to receive the snow emergency rate before leaving with your vehicle. You must show proof of your residency in the Back Bay, South End, or Bay Village.",617-275-0151,,0,,-71.0742,42.34794
-7909494.724,5212549.671,50,Channel Center Garage,116 West First Street,0,$10 for each 24-hour period,Discounted parking for all City of Boston residents. Please bring as proof of residence a valid driverâ€™s license with a City of Boston address to the garage office. You have 24 hours after the City lifts the snow emergency to remove your vehicle.,617-269-1830,,0,,-71.0522,42.34334
-7911899.225,5210876.537,52,Crosstown Center Garage,7 Melnea Cass Boulevard,0,$10 for each 24-hour period,"You must show proof of your Boston residency to the cashier. If you don't, you won't be eligible for the discount.",,,0,,-71.0738,42.33223
-7911209.044,5213617.56,53,200 Stuart Street Garage,200 Stuart Street,0,$0 for duration of Snow Emergency for Bay Village residents only. $10/24 hour period for all other Boston residents,"Bay Village resident parking permit or proof of Boston residency is required. To receive the discounted rate, parking can begin two hours before the emergency goes into effect and leave no later than two hours after parking ban is lifted",,,0,,-71.0676,42.35043
-7911253.572,5213707.937,54,Motor Mart Garage,201 Stuart Street,0,$10 for 24 hour period,Discounted parking for all Boston residents with a City Of Boston Resident Parking Permit or proof of Boston residency. Enter up to 2 hours before emergency goes into effect and exit within 2 hours of the ban being lifted.,,,0,,-71.068,42.35103
-7908673.364,5213579.029,55,The Alyx Garage,59 East Service Rd,0,Snow Emergency rate: $10.00 per day-each new day starts at 5am,"No restrictions, rate available to all parkers. ",617-429-3497,,0,,-71.0448,42.35016
